test/success_rate,epoch,stats_g/mean,test/mean_Q,stats_o/std,train/episode,test/episode,stats_o/mean,train/success_rate,stats_g/std
0.0125,0,0.38686648,-2.727551,0.7808704,100.0,20.0,0.19495603,0.0,0.22036822
0.025,1,0.38182423,-4.836956,0.7683737,200.0,40.0,0.19672021,0.0,0.2237929
0.0,2,0.38173443,-7.0913277,0.76220703,300.0,60.0,0.19758478,0.0025,0.22458258
0.025,3,0.38242194,-8.611487,0.76055753,400.0,80.0,0.19823518,0.0025,0.22607689
0.0125,4,0.38101885,-10.5545845,0.7606033,500.0,100.0,0.19807868,0.005,0.22752096
0.05,5,0.3821196,-12.329291,0.7619595,600.0,120.0,0.19794454,0.0075,0.22714709
0.025,6,0.38173547,-13.611622,0.76544577,700.0,140.0,0.19788677,0.02,0.22680715
0.025,7,0.38149586,-14.298081,0.7686381,800.0,160.0,0.19761764,0.01,0.2275163
0.0625,8,0.3817367,-15.738071,0.7721107,900.0,180.0,0.19790679,0.0175,0.22764137
0.05,9,0.3806593,-17.642225,0.7770784,1000.0,200.0,0.19785824,0.0175,0.22846444
0.05,10,0.38033313,-18.814121,0.78181946,1100.0,220.0,0.19765179,0.027500000000000004,0.2293857
0.05,11,0.38094702,-18.658558,0.78663903,1200.0,240.0,0.19776312,0.042499999999999996,0.22964181
0.0625,12,0.38089663,-20.355152,0.7917772,1300.0,260.0,0.19758822,0.045,0.23034848
0.0875,13,0.38082528,-20.252974,0.79707384,1400.0,280.0,0.19752492,0.030000000000000002,0.23091973
0.0625,14,0.37965703,-24.114819,0.8013618,1500.0,300.0,0.19736746,0.0425,0.23182414
0.08750000000000001,15,0.3788003,-24.186232,0.8060753,1600.0,320.0,0.1972748,0.05,0.23295964
0.1,16,0.3787391,-24.489666,0.8113302,1700.0,340.0,0.1970266,0.05,0.23350327
0.0625,17,0.37852147,-26.063957,0.8148302,1800.0,360.0,0.19686761,0.05750000000000001,0.23407085
0.11249999999999999,18,0.37820402,-22.889957,0.8190683,1900.0,380.0,0.19681257,0.0525,0.23429279
0.11249999999999999,19,0.37812647,-23.683334,0.8236437,2000.0,400.0,0.196635,0.06,0.23431036
0.1375,20,0.37827495,-22.776802,0.82811236,2100.0,420.0,0.19636925,0.055,0.2342922
0.125,21,0.37838465,-23.409222,0.83257693,2200.0,440.0,0.19614132,0.045,0.23435192
0.08750000000000001,22,0.37835816,-25.57878,0.8367762,2300.0,460.0,0.19597857,0.05,0.23416097
0.1,23,0.37801823,-25.670444,0.8407936,2400.0,480.0,0.19593705,0.055,0.23407343
0.175,24,0.3780221,-25.766548,0.8447353,2500.0,500.0,0.1959647,0.0675,0.23397565
0.175,25,0.37804937,-25.553413,0.84928584,2600.0,520.0,0.19613583,0.06,0.23387064
0.21250000000000002,26,0.37796482,-23.833984,0.85368097,2700.0,540.0,0.1959909,0.05750000000000001,0.2339432
0.2375,27,0.37793213,-25.042984,0.8578631,2800.0,560.0,0.19604589,0.065,0.23409449
0.25,28,0.37793908,-23.72341,0.86228925,2900.0,580.0,0.19593844,0.0975,0.23388074
0.15,29,0.37805685,-25.077425,0.8667046,3000.0,600.0,0.19588812,0.08,0.23372257
0.2,30,0.37806708,-25.621555,0.87059546,3100.0,620.0,0.19588226,0.0975,0.233586
0.26249999999999996,31,0.37819868,-23.156279,0.87435186,3200.0,640.0,0.19580431,0.08,0.23348685
0.1875,32,0.37775296,-22.638603,0.8783074,3300.0,660.0,0.19551155,0.1075,0.2334054
0.2,33,0.3776533,-20.592949,0.88222927,3400.0,680.0,0.19525903,0.1225,0.23338124
0.3,34,0.37788925,-20.278471,0.8856181,3500.0,700.0,0.19518864,0.1125,0.23322733
0.27499999999999997,35,0.3779154,-22.698313,0.8886482,3600.0,720.0,0.1951237,0.10250000000000001,0.23303476
0.25,36,0.37786177,-22.387775,0.89183,3700.0,740.0,0.19501042,0.10750000000000001,0.23275627
0.4,37,0.37805676,-19.784771,0.8949415,3800.0,760.0,0.19485088,0.16,0.23245546
0.175,38,0.37820575,-20.988129,0.89814323,3900.0,780.0,0.19466995,0.0975,0.23224816
0.275,39,0.37851876,-19.0595,0.9009087,4000.0,800.0,0.19446388,0.155,0.23191012
0.25,40,0.3786097,-18.877157,0.9037892,4100.0,820.0,0.1942977,0.11499999999999999,0.2316298
0.375,41,0.37910226,-18.298916,0.9068334,4200.0,840.0,0.19418433,0.13,0.23141238
0.3625,42,0.37930518,-21.598455,0.9097011,4300.0,860.0,0.19401422,0.13,0.2310435
0.45,43,0.3795052,-17.056755,0.9123395,4400.0,880.0,0.19399746,0.10500000000000001,0.23078649
0.35,44,0.3795974,-17.102203,0.91486704,4500.0,900.0,0.19385833,0.14250000000000002,0.23040631
0.36250000000000004,45,0.37980554,-19.1627,0.91737604,4600.0,920.0,0.19373521,0.16999999999999998,0.2301161
0.3125,46,0.38002244,-20.073814,0.9196679,4700.0,940.0,0.193662,0.1775,0.22986233
0.3125,47,0.3801189,-19.787125,0.9218383,4800.0,960.0,0.1934785,0.16499999999999998,0.22958711
0.425,48,0.38027117,-17.386219,0.92385745,4900.0,980.0,0.19334652,0.14,0.22947386
0.4375,49,0.38034487,-15.842138,0.9259335,5000.0,1000.0,0.19321433,0.1975,0.22915399
0.38749999999999996,50,0.3806353,-18.265894,0.9278796,5100.0,1020.0,0.19306454,0.1775,0.2288768
0.55,51,0.38096744,-12.053199,0.92967874,5200.0,1040.0,0.19288749,0.1775,0.22866784
0.5,52,0.38122827,-14.617432,0.931584,5300.0,1060.0,0.19275492,0.18,0.22845162
0.45,53,0.38132796,-15.632383,0.93343556,5400.0,1080.0,0.19262104,0.15999999999999998,0.2281027
0.525,54,0.38122353,-14.58006,0.9350266,5500.0,1100.0,0.19250825,0.1875,0.22793522
0.4625,55,0.38131675,-12.665937,0.93650043,5600.0,1120.0,0.19233327,0.18,0.22770664
0.5875,56,0.38145202,-11.676839,0.9380986,5700.0,1140.0,0.19217382,0.21750000000000003,0.22745977
0.5625,57,0.38146263,-11.958494,0.93962336,5800.0,1160.0,0.19199716,0.20500000000000002,0.2273315
0.55,58,0.3816776,-12.492937,0.941099,5900.0,1180.0,0.19184399,0.2275,0.22720215
0.4875,59,0.38188872,-15.242853,0.94260824,6000.0,1200.0,0.1916716,0.17500000000000002,0.22713253
0.575,60,0.38197932,-12.620394,0.9438631,6100.0,1220.0,0.19149226,0.2025,0.22697254
0.575,61,0.38222474,-12.495675,0.94524264,6200.0,1240.0,0.19132812,0.185,0.22679271
0.47500000000000003,62,0.38236213,-14.003204,0.9464144,6300.0,1260.0,0.1912259,0.2175,0.22670388
0.5375,63,0.38249803,-14.715241,0.94769555,6400.0,1280.0,0.19110146,0.2125,0.22654776
0.5,64,0.38267642,-13.864542,0.9488509,6500.0,1300.0,0.19091693,0.185,0.2263782
0.5125,65,0.38276857,-14.215217,0.95002913,6600.0,1320.0,0.19077669,0.18,0.22626574
0.575,66,0.38283548,-10.834293,0.9512227,6700.0,1340.0,0.1906429,0.1825,0.22613011
0.5625,67,0.3829131,-11.26663,0.9523788,6800.0,1360.0,0.19048566,0.20750000000000002,0.22601452
0.5375000000000001,68,0.3830859,-14.703254,0.9534286,6900.0,1380.0,0.19039556,0.17500000000000002,0.225963
0.5375,69,0.3832241,-13.86338,0.954369,7000.0,1400.0,0.19033563,0.195,0.22587097
0.5375,70,0.3833198,-11.3475065,0.95527446,7100.0,1420.0,0.19028386,0.2,0.2257181
0.5,71,0.38332754,-13.284578,0.9560952,7200.0,1440.0,0.19018905,0.2425,0.22560216
0.5874999999999999,72,0.38332003,-12.663774,0.95700514,7300.0,1460.0,0.19010547,0.18,0.2255195
0.5625,73,0.38332948,-12.914758,0.95777714,7400.0,1480.0,0.18999654,0.225,0.22536395
0.6875,74,0.38334948,-10.566217,0.95857126,7500.0,1500.0,0.18993373,0.2275,0.22527042
0.6,75,0.3833426,-12.264651,0.95932066,7600.0,1520.0,0.18986095,0.23249999999999998,0.22515868
0.5125,76,0.38340753,-15.223726,0.96009094,7700.0,1540.0,0.18975076,0.20500000000000002,0.22505358
0.4,77,0.3833795,-14.381762,0.9608705,7800.0,1560.0,0.1896304,0.20750000000000002,0.22499315
0.525,78,0.3833983,-15.959198,0.96156013,7900.0,1580.0,0.18953906,0.24500000000000002,0.22488801
0.6625,79,0.38350177,-11.045555,0.96239275,8000.0,1600.0,0.1894296,0.22999999999999998,0.22484219
0.6125,80,0.38350654,-12.820555,0.9632091,8100.0,1620.0,0.18936858,0.20750000000000002,0.22478189
0.6125,81,0.38354775,-11.374123,0.9639487,8200.0,1640.0,0.18928006,0.245,0.22471999
0.6375000000000001,82,0.3836467,-11.59382,0.9645744,8300.0,1660.0,0.18923107,0.215,0.2246537
0.625,83,0.38371462,-12.70228,0.96522635,8400.0,1680.0,0.189228,0.25,0.22452381
0.6125,84,0.38373175,-12.155859,0.9657061,8500.0,1700.0,0.18918326,0.2525,0.22437052
0.5125,85,0.38375324,-12.7975235,0.9662931,8600.0,1720.0,0.18914957,0.255,0.22429681
0.6875,86,0.38387087,-12.769592,0.96685773,8700.0,1740.0,0.18910122,0.265,0.2242274
0.5625,87,0.38389763,-11.71945,0.9674029,8800.0,1760.0,0.18908885,0.245,0.22418872
0.6625000000000001,88,0.38390684,-11.480665,0.967932,8900.0,1780.0,0.18902233,0.2625,0.22416253
0.7875,89,0.38395068,-10.48204,0.9683936,9000.0,1800.0,0.1889644,0.24000000000000002,0.22409996
0.5625,90,0.3840023,-12.939782,0.96891487,9100.0,1820.0,0.18890351,0.24500000000000002,0.22399959
0.5874999999999999,91,0.38407698,-12.360167,0.96940315,9200.0,1840.0,0.18886414,0.275,0.2239062
0.6000000000000001,92,0.3841426,-12.576385,0.9699136,9300.0,1860.0,0.18882355,0.28,0.22387607
0.6,93,0.38414192,-12.628254,0.97036374,9400.0,1880.0,0.1887777,0.2275,0.22382788
0.625,94,0.3841333,-12.187103,0.9707739,9500.0,1900.0,0.18872164,0.2775,0.22369899
0.575,95,0.3841825,-14.197731,0.97121,9600.0,1920.0,0.18870331,0.2575,0.22363757
0.45,96,0.38422492,-15.2172985,0.971636,9700.0,1940.0,0.18864673,0.24,0.22355422
0.625,97,0.3842366,-12.845026,0.9720874,9800.0,1960.0,0.18860278,0.2425,0.22350633
0.6625000000000001,98,0.38431257,-11.777281,0.9725205,9900.0,1980.0,0.18856908,0.245,0.22343175
0.7374999999999999,99,0.38443086,-11.6778145,0.97291774,10000.0,2000.0,0.18855669,0.215,0.2232959
0.6625,100,0.3845358,-11.924046,0.9733495,10100.0,2020.0,0.18857214,0.27,0.22323528
0.575,101,0.38457742,-15.033474,0.9737842,10200.0,2040.0,0.18856326,0.245,0.22318366
0.625,102,0.38460636,-12.375194,0.9741999,10300.0,2060.0,0.18852545,0.2775,0.22314419
0.675,103,0.3845613,-11.56831,0.9745866,10400.0,2080.0,0.18845144,0.265,0.2230951
0.6125,104,0.38458624,-13.94203,0.9748945,10500.0,2100.0,0.18842205,0.2525,0.22304602
0.625,105,0.384589,-12.327583,0.97525316,10600.0,2120.0,0.18839404,0.25,0.222973
0.7125,106,0.38464016,-12.677557,0.97560894,10700.0,2140.0,0.18837732,0.275,0.22290823
0.5875,107,0.38472348,-12.718989,0.9759762,10800.0,2160.0,0.18837994,0.24,0.22290668
0.5375,108,0.38477245,-12.859554,0.9762794,10900.0,2180.0,0.18835811,0.28500000000000003,0.22285451
0.625,109,0.38481826,-14.397662,0.97657454,11000.0,2200.0,0.18838115,0.2475,0.22282997
0.6125,110,0.3848377,-12.123899,0.9768822,11100.0,2220.0,0.188332,0.2475,0.22280133
0.7125,111,0.38491932,-12.302378,0.97718585,11200.0,2240.0,0.18830138,0.28250000000000003,0.2227227
0.575,112,0.3849519,-12.013468,0.9775199,11300.0,2260.0,0.18828501,0.26,0.22269347
0.675,113,0.38495728,-13.350136,0.97782665,11400.0,2280.0,0.18824476,0.3025,0.22265084
0.6125,114,0.38499326,-11.177249,0.97809815,11500.0,2300.0,0.18818413,0.2475,0.22259445
0.6625000000000001,115,0.3850059,-12.068848,0.97835946,11600.0,2320.0,0.18816303,0.28500000000000003,0.22256899
0.7124999999999999,116,0.3850467,-11.59862,0.9786675,11700.0,2340.0,0.18814203,0.255,0.22255567
0.6875,117,0.38513377,-11.813641,0.9789994,11800.0,2360.0,0.18812041,0.255,0.22252114
0.5625,118,0.38511243,-12.439555,0.9792635,11900.0,2380.0,0.18810295,0.255,0.22252786
0.675,119,0.38509205,-11.593437,0.979571,12000.0,2400.0,0.18806459,0.255,0.2225866
0.6625,120,0.38512227,-12.280695,0.9798757,12100.0,2420.0,0.18804003,0.26,0.22261977
0.65,121,0.3851413,-14.136715,0.98012966,12200.0,2440.0,0.1880077,0.2625,0.22265112
0.5125,122,0.3851428,-15.026312,0.98039705,12300.0,2460.0,0.18796596,0.2625,0.22272338
0.625,123,0.38518497,-13.11803,0.9806686,12400.0,2480.0,0.18793021,0.28,0.22279707
0.6499999999999999,124,0.38514975,-13.736195,0.98087955,12500.0,2500.0,0.18787597,0.235,0.22294141
0.65,125,0.38514495,-12.703444,0.98111564,12600.0,2520.0,0.18782225,0.24750000000000003,0.22301939
0.48750000000000004,126,0.38509014,-14.377336,0.98131704,12700.0,2540.0,0.1877707,0.2425,0.22314036
0.5375,127,0.3851058,-15.261018,0.9815252,12800.0,2560.0,0.1877416,0.235,0.22320895
0.6375000000000001,128,0.3850184,-11.900887,0.9818085,12900.0,2580.0,0.18770076,0.205,0.22331958
0.475,129,0.3849255,-13.18775,0.9819769,13000.0,2600.0,0.18766923,0.21250000000000002,0.22340755
0.55,130,0.3848586,-14.275446,0.98211926,13100.0,2620.0,0.18766013,0.22,0.22349514
0.55,131,0.3847546,-11.593481,0.9822259,13200.0,2640.0,0.18763441,0.20750000000000002,0.22356547
0.5625,132,0.3846819,-13.381044,0.9822957,13300.0,2660.0,0.18760595,0.2375,0.22361948
0.5625,133,0.38466284,-13.498459,0.982361,13400.0,2680.0,0.18761395,0.245,0.22365215
0.5625,134,0.38471547,-13.707789,0.9823852,13500.0,2700.0,0.1876264,0.1975,0.22366475
0.65,135,0.38467947,-12.372551,0.98243845,13600.0,2720.0,0.18761915,0.275,0.22367665
0.6375,136,0.38463476,-13.326139,0.98250824,13700.0,2740.0,0.18758556,0.23249999999999998,0.22376002
0.5,137,0.38457885,-14.517186,0.98261875,13800.0,2760.0,0.18755747,0.27,0.22377625
0.5,138,0.38458732,-15.34807,0.9826625,13900.0,2780.0,0.1875392,0.26,0.22381426
0.625,139,0.38452896,-13.718227,0.9827349,14000.0,2800.0,0.18751672,0.265,0.22382696
0.5375000000000001,140,0.38451195,-12.827338,0.9828462,14100.0,2820.0,0.187519,0.2625,0.2238523
0.675,141,0.38446242,-11.8106365,0.9829763,14200.0,2840.0,0.18749307,0.2725,0.22383611
0.6125,142,0.38441443,-13.61673,0.98313594,14300.0,2860.0,0.18747073,0.3125,0.22384699
0.6625000000000001,143,0.38439605,-11.907683,0.98327124,14400.0,2880.0,0.18743885,0.2925,0.22388819
0.8,144,0.3844114,-10.524839,0.9833691,14500.0,2900.0,0.18744266,0.27,0.22389261
0.75,145,0.38443017,-12.6803465,0.9834786,14600.0,2920.0,0.1874296,0.28500000000000003,0.2238396
0.8,146,0.38444754,-9.811871,0.9836201,14700.0,2940.0,0.18742408,0.2875,0.22383305
0.6125,147,0.38449696,-14.686302,0.9837146,14800.0,2960.0,0.1874279,0.3075,0.22379196
0.65,148,0.38456735,-13.652294,0.9838114,14900.0,2980.0,0.18745573,0.31,0.22375952
0.7625,149,0.38460392,-11.7107525,0.9839228,15000.0,3000.0,0.18746051,0.27749999999999997,0.22372928
0.625,150,0.38463497,-11.653561,0.98411214,15100.0,3020.0,0.18746546,0.2575,0.22370353
0.6125,151,0.38461688,-11.968931,0.9843182,15200.0,3040.0,0.18747327,0.265,0.22373891
0.65,152,0.38464355,-11.171488,0.98448384,15300.0,3060.0,0.18749693,0.29,0.22373907
0.675,153,0.3846133,-12.816252,0.9846539,15400.0,3080.0,0.1874664,0.31000000000000005,0.22372982
0.675,154,0.38460454,-13.009474,0.9847766,15500.0,3100.0,0.18744281,0.28500000000000003,0.223735
0.75,155,0.3846414,-12.161945,0.98490983,15600.0,3120.0,0.18740714,0.315,0.22367263
0.65,156,0.38470477,-14.752282,0.9850985,15700.0,3140.0,0.18740699,0.27,0.2236446
